Player,Team,Age,CosineSimilarity,AutoencoderSimilarity,KMeansScore,EuclideanSimilarity,ManhattanSimilarity,FinalScore
Richonell Margaret,RKC Waalwijk,23.0,0.5530039923983536,0.75630987,0.5223103470922474,0.47165504,0.5493802004953646,0.5845904123258516
Sebastian Nanasi,Strasbourg,22.0,0.6650089283443545,0.75240946,0.5040752962406048,0.3136477,0.4804146488893764,0.5769367375256353
Riccardo Orsolini,Bologna,27.0,0.7367045120873522,0.6041682,0.49958105347281934,0.41090515,0.6049190927778125,0.5748187390843587
Marcus Thuram,Inter,26.0,0.6939066835499821,0.6897739,0.4966845882983364,0.33966708,0.5539803359769561,0.5744291644400017
Callum Hudson-Odoi,Nott'ham Forest,23.0,0.5829017893441664,0.7255881,0.506510834955754,0.45328832,0.5105273415096189,0.5716377382338966
Anthony Elanga,Nott'ham Forest,22.0,0.6351736503553287,0.6772945,0.5519236547032946,0.36940616,0.43054917487987215,0.5695271655097849
Dango Ouattara,Bournemouth,22.0,0.6092714608738052,0.7102212,0.5069376706530638,0.37859505,0.5105511997664088,0.5657523966298256
Alejandro Garnacho,Manchester Utd,20.0,0.6059218789234698,0.668803,0.5221733967542671,0.4641806,0.45959736459354733,0.5635236048773922
Sontje Hansen,NEC Nijmegen,22.0,0.623124451256376,0.7168119,0.5036922851976353,0.35530752,0.47263962302197277,0.5629148796489701
Isaac Palazón Camacho,Rayo Vallecano,29.0,0.5315285775766825,0.73442566,0.4690840422294663,0.44956836,0.5920155817267188,0.5582499413047874
Federico Dimarco,Inter,26.0,0.590359793150672,0.6277207,0.5128019457484155,0.45625862,0.5544558814444047,0.5555542679245266
Daan Rots,Twente,23.0,0.5815044674327359,0.647158,0.5070181097932677,0.44107854,0.5495246101586274,0.5546070539701689
Yankuba Minteh,Brighton,20.0,0.5917392154336735,0.69604385,0.5181475238917598,0.33095336,0.44397249402856964,0.5512030255500604
Bryan Zaragoza,Osasuna,23.0,0.48872079945713875,0.698161,0.48578219808049167,0.4946426,0.5785113936955811,0.5496235793792675
Abde Ezzalzouli,Betis,22.0,0.5286636509334627,0.70797634,0.4810268082115922,0.47528914,0.509146963246295,0.5495298098045192
Bilal El Khannouss,Leicester City,20.0,0.4964608578085201,0.7221074,0.44761304354290415,0.49962217,0.6170945576505548,0.5481552640253541
Victor Edvardsen,Go Ahead Eag,28.0,0.658172571249861,0.5893723,0.5217369396086586,0.3237337,0.4994560353819734,0.5439044847062385
Óscar Aranda,Famalicão,22.0,0.5946411586278304,0.6118525,0.47569485978959536,0.4558032,0.5851536308152779,0.5424802474598889
Ricardo Horta,Braga,29.0,0.5791444106845023,0.6926321,0.47452740509233093,0.33263925,0.5362901818647036,0.5419644373497605
Gabriel Martinelli,Arsenal,23.0,0.5860282959095824,0.64776397,0.531046362372574,0.32525426,0.41096681703255006,0.5386349872335663
Tom Bischof,Hoffenheim,19.0,0.5336481298341327,0.6772214,0.45585216646295823,0.42292437,0.5605392920100319,0.5339296062341063
Fabio Vieira,Porto,24.0,0.562616597501998,0.6453996,0.4751330319605372,0.3847355,0.5145048889695678,0.5300938124300811
Gustav Isaksen,Lazio,23.0,0.4613122903671819,0.6939963,0.47879069378557854,0.4318669,0.4712946339866801,0.5236544325139052
Lucas Paquetá,West Ham,26.0,0.5056966103441833,0.6804571,0.40175708197773885,0.49931818,0.6120517334044456,0.5230055733768404
Takumi Minamino,Monaco,29.0,0.6054288316727897,0.5685092,0.5045663984484576,0.32554618,0.49900479627522903,0.5222664097025456
Lautaro Martínez,Inter,26.0,0.6108404605776595,0.554111,0.4683413461857258,0.37657514,0.5904390843795776,0.5213167369019425
Mateo Retegui,Atalanta,25.0,0.6675297574909751,0.5686054,0.4095474207108954,0.42055756,0.5757428647209328,0.5186289468161628
Ringo Meerveld,Willem II,23.0,0.5534709487034438,0.6154263,0.44535026768296343,0.45892918,0.5143060843322782,0.5177468876970659
Lassine Sinayoko,Auxerre,24.0,0.5035835708253412,0.6406256,0.4864592768074451,0.37771055,0.4402262565103565,0.5129275430478442
Morlaye Sylla,Arouca,26.0,0.4297265981619801,0.68803287,0.4128974984493575,0.46193597,0.6100471736643216,0.5096659738128138
João Carvalho,Estoril,27.0,0.5430045784818266,0.5932112,0.4520408629383761,0.35817784,0.5376746441907915,0.5047032589725943
Jonathan David,Lille,24.0,0.5789682744169725,0.5579623,0.4590097341774427,0.3345139,0.5440199193631634,0.5037910179014885
Andrea Cambiaso,Juventus,24.0,0.5154453538948475,0.5913316,0.43737380295904743,0.44107047,0.4781975889449489,0.4959296069731595
Carlos Vicente,Alavés,25.0,0.4207254027619587,0.6532525,0.47522626740947327,0.36220172,0.4338304975613383,0.4933906187881918
Leo Sauer,NAC Breda,18.0,0.49627323054439865,0.6155127,0.4732549341475786,0.34426382,0.3787790776312626,0.49107634667057853
Dennis Man,Parma,25.0,0.45770323060304835,0.6055341,0.4791868911170897,0.33761057,0.46294773377107135,0.490695408564077
Yeremi Pino,Villarreal,21.0,0.46013168391644366,0.6133903,0.47915893290491607,0.32475093,0.4076002013428301,0.486314660301539
Dylan Mbayo,Zwolle,22.0,0.4886012304975803,0.5812533,0.48757858430614964,0.3127997,0.40533874049955654,0.48549991716117313
Keane Lewis-Potter,Brentford,23.0,0.44527521111709156,0.605389,0.4391609923834918,0.4369269,0.4657959656133629,0.4843809252542898
Tim Kleindienst,Gladbach,28.0,0.624658442386986,0.45152637,0.46034594970687687,0.30209085,0.5337479309613539,0.4825182423498791
Domingos André Ribeiro Almeida,Valencia,24.0,0.39558532174533384,0.6428349,0.3885063379440279,0.4614198,0.5877842102619094,0.48072340746135256
Serhou Guirassy,Dortmund,28.0,0.5907104019119178,0.49034616,0.388745117604861,0.35292354,0.6736139031868411,0.4794431562216424
Benedict Hollerbach,Union Berlin,23.0,0.49274553415101185,0.58949554,0.46910037409619093,0.30808133,0.3802780708309156,0.47894406376773996
Yoane Wissa,Brentford,27.0,0.5938069509244757,0.48485628,0.43093090043549465,0.29389584,0.5789966970833149,0.4780905289087221
Keito Nakamura,Reims,24.0,0.5520112835532375,0.50366616,0.47343983263283596,0.31994957,0.4319375748526889,0.4772114537169745
Nuno Santos,Vitória,25.0,0.48119371713517206,0.5360813,0.43756490923048097,0.39578953,0.5238242204933674,0.47536816784929525
Fredrik Aursnes,Benfica,28.0,0.5305487541306023,0.50336206,0.45074484543215376,0.3684428,0.46221348073359925,0.4727765893161055
Moise Kean,Fiorentina,24.0,0.5199397222913476,0.5302297,0.3800829240448158,0.37811068,0.6039004839774962,0.4677755051497164
Valentín Castellanos,Lazio,25.0,0.5187355692484539,0.50061274,0.4306574606796434,0.33975756,0.5135193579131646,0.46495810247443675
Jonathan Burkardt,Mainz 05,24.0,0.5633020584542423,0.4901069,0.3711489355227113,0.36356208,0.5974547787403738,0.4611909515979496
Adam Hložek,Hoffenheim,22.0,0.5072094167622894,0.52251947,0.4373314150596177,0.28376195,0.44154920095845734,0.45766886161422937
Omari Hutchinson,Ipswich Town,20.0,0.36705122123998807,0.58563495,0.4430906910707496,0.36236426,0.4204829874402885,0.4531854492969303
Gabriel Vieira,Santa Clara,22.0,0.3257286304239735,0.5773896,0.4355339013507034,0.35698098,0.4745010223582316,0.4450781904657559
Pablo Fornals,Betis,28.0,0.4036924663364875,0.555712,0.37397185767846725,0.39120904,0.5484584067006572,0.44452338538472586
Pepê,Porto,27.0,0.31362293787354323,0.5768359,0.435563868344891,0.3223449,0.4858681323295942,0.44020221233183454
Troy Parrott,AZ Alkmaar,22.0,0.4730270860405633,0.4610218,0.3761033306173536,0.32750234,0.6308736559571784,0.4373346352202483
Paxten Aaronson,Utrecht,20.0,0.38904264906420427,0.5526949,0.4236524723334733,0.2817472,0.4321170355701723,0.4356470467097737
Juan Cruz,Leganés,24.0,0.3274262109235087,0.58945835,0.4252484135428742,0.300126,0.424184709760686,0.43411784275373405
Viktor Tsyhankov,Girona,26.0,0.29125905390016726,0.5574758,0.434805735234237,0.33474505,0.4268190365132002,0.42595917803164696
Erling Haaland,Manchester City,24.0,0.5159905685208744,0.4613262,0.3294645392396194,0.34542927,0.5676222839037294,0.4251474131322724
Nicolas Jackson,Chelsea,23.0,0.4816986657336683,0.4154258,0.4128569612374448,0.29093382,0.5058880365505055,0.4243783079243879
Sebastiano Esposito,Empoli,22.0,0.30545730738979004,0.5756825,0.39613247691169,0.31469372,0.48738833648965774,0.4238666634324193
Alexis Claude-Maurice,Augsburg,26.0,0.4136054447845091,0.47897193,0.4158785646511881,0.2650091,0.44976295066775956,0.41949877426166676
John McGinn,Aston Villa,29.0,0.2806075234757208,0.5836673,0.3606489714680399,0.39239797,0.5001349722051711,0.41751875924309867
Gaetano Oristanio,Venezia,21.0,0.2576481755650319,0.55667496,0.41469935000968755,0.3485636,0.46328665926256524,0.41702817326718467
Jean-Philippe Mateta,Crystal Palace,27.0,0.40498906644529564,0.4791974,0.38647118980075645,0.2893288,0.5171748609420199,0.4167124514687145
Loïs Openda,RB Leipzig,24.0,0.39457119819701475,0.43139663,0.442962568293169,0.28462037,0.45916235806586,0.41617857013936577
Samu Omorodion,Porto,20.0,0.4759119399568406,0.4486626,0.3388387397892314,0.33779505,0.5471420774234913,0.4144353125156974
Nikola Vlašić,Torino,26.0,0.2710233826024625,0.56285894,0.40439122602649796,0.32758632,0.44289851635143707,0.41350482659507826
Arnaud Kalimuendo,Rennes,22.0,0.4338257069487604,0.4225692,0.38854192996269366,0.29392862,0.552066551699064,0.41299663111292073
Benjamin Šeško,RB Leipzig,21.0,0.43568199520739465,0.43584988,0.3979451207959026,0.28014943,0.45156876008622,0.40855147913525025
Kristoffer Peterson,Fortuna Sittard,29.0,0.3430783529524767,0.46319917,0.43853921125206796,0.26724064,0.40702423277720046,0.4053306746400163
Mahdi Camara,Brest,26.0,0.3321466265613633,0.49741033,0.403430941445039,0.28554645,0.43787041400151805,0.4043244243155077
Tete Morente,Lecce,27.0,0.23924457723917048,0.5634515,0.36468589073599544,0.36758742,0.48914020576842004,0.40202462314610127
Diego López,Valencia,22.0,0.4654607547430951,0.3277844,0.48030295498343506,0.21259627,0.368275175675804,0.4012314264484081
Liam Delap,Ipswich Town,21.0,0.3444559212478674,0.48133948,0.38907099250004284,0.27794993,0.47278664266914144,0.40047455955601047
Brennan Johnson,Tottenham,23.0,0.43523490191327674,0.38201556,0.4178079955459801,0.23073123,0.4762045266420709,0.39947724428018516
Farid El Melali,Angers,27.0,0.25258512212517814,0.5174993,0.39048034853601354,0.3441169,0.4450045107592372,0.39547212053267344
Shuto Machino,Holstein Kiel,24.0,0.41806827546411734,0.42556968,0.37987950139448323,0.2726635,0.44218960297041493,0.3944492132123905
Ollie Watkins,Aston Villa,28.0,0.482031272943249,0.32043317,0.3910423034431858,0.262261,0.5107672002585746,0.3906821746636307
Clayton,Rio Ave,25.0,0.3311296897659805,0.43628845,0.365976500459464,0.29802316,0.5092510319856763,0.3841172446593292
Yanis Begraoui,Estoril,23.0,0.39229925496756907,0.39303717,0.35962416014379656,0.2901976,0.500031934045754,0.38161055482192074
Kevin Schade,Brentford,22.0,0.3966907790603374,0.33132586,0.4093898497248231,0.2410635,0.4765543721720909,0.377217856799518
Tyler Dibling,Southampton,18.0,0.22009220714174826,0.5054221,0.3509423758158197,0.34222758,0.48224014795841014,0.3756505758976403
Thierno Barry,Villarreal,21.0,0.3205076559795605,0.40664253,0.3676091085133791,0.28006867,0.5090399888570786,0.37333621623263213
Teun Koopmeiners,Juventus,26.0,0.1799781609913882,0.53077364,0.36043421494189387,0.32686237,0.45581405902215055,0.3731086604956924
Ilias Sebaoui,Heerenveen,22.0,0.17886824588968353,0.49719492,0.35724116017364554,0.3579208,0.4894322476646507,0.36984208783050465
Habib Diarra,Strasbourg,20.0,0.2881320381762233,0.41676506,0.39041943074675856,0.28835347,0.4209934745041637,0.36939916876957574
John Mercado,AVS Futebol,22.0,0.208200058597661,0.47929254,0.3711671812753167,0.32512403,0.43639585433198064,0.3675236500592733
Matthis Abline,Nantes,21.0,0.2555981404278126,0.40445265,0.4215063174414404,0.25701246,0.4039599151908259,0.36585723893695055
Evanilson,Bournemouth,24.0,0.27980415846744017,0.43882713,0.32006986295019296,0.32027918,0.5584523137390429,0.3655652157499366
Ermedin Demirović,Stuttgart,26.0,0.4635580539095439,0.35908374,0.2843141639626443,0.28674293,0.541094365921118,0.3647762335462225
Marcos Vinicios Sorriso,Famalicão,23.0,0.4114327919884794,0.2621204,0.44409002081619053,0.20780768,0.39934497433228894,0.3639634303367548
Ange-Yoan Bonny,Parma,20.0,0.16484690423582443,0.48113826,0.39074261838309543,0.30366907,0.4253450653416626,0.362915275504758
Lucas Stassin,Saint-Étienne,19.0,0.439312958291294,0.32746878,0.3494408221864081,0.26545903,0.4402155539704892,0.3626015332005202
Boulaye Dia,Lazio,27.0,0.31735281176808294,0.37660173,0.3632960379788852,0.26659095,0.48992310364436675,0.3604260131246968
Junior Kadile,Almere City,21.0,0.2393397569122433,0.4127361,0.4041527023203005,0.28572482,0.3926697152012342,0.3603448737122883
Santiago Castro,Bologna,19.0,0.23515817244149645,0.4262987,0.36532824055309737,0.313136,0.4644320860756634,0.35922800610161976
Javi Puado,Espanyol,26.0,0.27475958002761525,0.3808019,0.4076649706553375,0.24449426,0.4111261394051586,0.3583971679362388
Marvin Pieringer,Heidenheim,24.0,0.22112551241575712,0.44469562,0.3676902509336618,0.29644245,0.4328125136268755,0.35701609238666043
Iliman Ndiaye,Everton,24.0,0.3756722153047553,0.3146787,0.4036280478074401,0.22635895,0.38363161204099694,0.3560729914510602
Joelinton,Newcastle Utd,27.0,0.2579392636710463,0.3953822,0.3797697610616685,0.25837037,0.4164930342913652,0.3508391591750493
Tomáš Suslov,Hellas Verona,22.0,0.17618293163299076,0.508222,0.27939121404376,0.37886834,0.5195344838184268,0.34991929123586696
Nikola Krstović,Lecce,24.0,0.2891772372439676,0.31683776,0.3951576238005762,0.25327665,0.43883231350983104,0.34456095231775197
Tiago Tomás,Wolfsburg,22.0,0.17851665387288473,0.40927312,0.36800277018567823,0.2680318,0.4440381800404637,0.3380295783641528
Tobias Lauritsen,Sparta R'dam,26.0,0.23043196622313183,0.40638366,0.3195138050376184,0.3005197,0.4719570087947414,0.3367598125956457
Fábio Silva,Las Palmas,22.0,0.2708235897676612,0.36342666,0.33847377179655497,0.27741158,0.4544933920518628,0.3366776995513496
Jonas Wind,Wolfsburg,25.0,0.34956410942555716,0.2946135,0.36268813037512215,0.22418033,0.4293937072329241,0.33586444916389285
Jorge de Frutos,Rayo Vallecano,27.0,0.24413316345561759,0.30392978,0.4348265857050132,0.2127744,0.3447753051937757,0.33275335290743485
Vinícius,Santa Clara,25.0,0.19978049736932602,0.39721248,0.3454328515053663,0.25765973,0.4534902731234567,0.3312757177722546
Kodai Sano,NEC Nijmegen,20.0,0.20461991968081716,0.4388084,0.28561052289770905,0.33276775,0.4609472238512515,0.32996126988992436
Dominic Solanke,Tottenham,26.0,0.25913653145982174,0.34039363,0.33550569438998196,0.26449335,0.4885423239177204,0.32965627562184047
Morgan Guilavogui,St. Pauli,26.0,0.13183953051969577,0.40557793,0.353784762380528,0.27330694,0.4674349079826111,0.3256612404124929
Suf Podgoreanu,Heracles Almelo,22.0,0.16610925598001103,0.3709444,0.3675162637336221,0.28792456,0.4094274446519226,0.3243238464010181
Giuseppe Pezzella,Empoli,26.0,0.1898586669368697,0.40091863,0.3187705599317859,0.30379277,0.4304380271613412,0.3231941688513836
Emanuel Emegha,Strasbourg,21.0,0.3853690551063968,0.2876971,0.2768798113925367,0.2508287,0.5151638263069691,0.3225052756071795
Valentino Lazaro,Torino,28.0,0.19269400470512577,0.4082847,0.31778882764328226,0.30661857,0.3951358363785882,0.32201150449874083
Pep Chavarría,Rayo Vallecano,26.0,0.21907139274320847,0.41236058,0.2836983896274839,0.31596288,0.4404422928980664,0.321839376986903
Oskar Zawada,RKC Waalwijk,28.0,0.2938603185304546,0.38375786,0.24644134882935695,0.2997859,0.49835160694798597,0.3207797533070271
Lucas Beltrán,Fiorentina,23.0,0.18353193452462785,0.382942,0.347038307458894,0.27904993,0.38919203397488694,0.3207294886088613
Miguel Reisinho,Boavista,25.0,0.1643845644704075,0.45798656,0.253215313502678,0.34010345,0.46348955835343425,0.3163582162952995
Lorenzo Colombo,Empoli,22.0,0.08072574798983462,0.43472514,0.32511918652639005,0.30801553,0.4399802794603664,0.31341772999860257
Jack Harrison,Everton,27.0,0.1260464581857943,0.4028488,0.32484253608899155,0.29572928,0.4384933707790297,0.3130386471599267
Kai Havertz,Arsenal,25.0,0.30526792765628674,0.2501733,0.33622559047819317,0.22822697,0.46471951397754435,0.310570517300789
Artem Dovbyk,Roma,27.0,0.21844258013523604,0.3339679,0.3004577441830097,0.26823053,0.5097011810014227,0.3101338713066407
Josué Casimir,Le Havre,22.0,0.11009632808742126,0.3460301,0.38022881313445045,0.2350179,0.3608275837665207,0.30119141935824856
Jørgen Strand Larsen,Wolves,24.0,0.30493095058321196,0.28260037,0.2882710859764418,0.2481253,0.4284457961236955,0.3001882738043882
Patrick Dorgu,Lecce,19.0,0.12477250618649371,0.33962032,0.3401990781365497,0.2648582,0.40935452427095764,0.2963505308790063
Issa Soumaré,Le Havre,23.0,0.1662970753816604,0.25611374,0.39053777712621407,0.2248801,0.38123678838816566,0.29458776141196236
Christantus Uche,Getafe,21.0,0.1013361326816486,0.32749704,0.37890575119454956,0.24152388,0.34924928330590566,0.2938358153974651
Sandro Ramírez,Las Palmas,29.0,0.19679301607981414,0.24324784,0.37523639601065273,0.20771162,0.3965531398213839,0.2919297775933116
Che Adams,Torino,28.0,0.11463690829330048,0.33063415,0.32361806132667326,0.2596856,0.4633910964035836,0.29115991044451883
