Player,Team,Age,EuclideanSimilarity
Vedat Muriqi,Mallorca,30.0,0.13250503
Gorka Guruzeta,Athletic Club,27.0,0.13104227
Cyle Larin,Mallorca,29.0,0.12956987
Ezequiel Bullaude,Fortuna Sittard,23.0,0.12898503
Cassiano,Casa Pia,35.0,0.12785764
Lorenzo Lucca,Udinese,23.0,0.1248056
Tobias Lauritsen,Sparta R'dam,26.0,0.12340778
Elías Már Ómarsson,NAC Breda,29.0,0.12290906
Roberto Piccoli,Cagliari,23.0,0.120573305
Mikel Oyarzabal,Real Sociedad,27.0,0.11950497
Andrea Pinamonti,Genoa,25.0,0.11853989
Isaac Romero,Sevilla,24.0,0.117539585
Jamie Vardy,Leicester City,37.0,0.11490473
Rasmus Højlund,Manchester Utd,21.0,0.11324892
Kikas,Estrela,25.0,0.109772734
Lawrence Shankland,Hearts,28.0,0.01647133
Václav Černý,Rangers,26.0,0.014734294
Ronan Hale,Ross County,25.0,0.013875919
Adama Sidibeh,St Johnstone,26.0,0.0130452225
Jordan White,Ross County,32.0,0.012993789
Oluwaseun Adewumi,Dundee,19.0,0.012623125
Kevin Nisbet,Aberdeen,27.0,0.0123987645
Mikael Mandron,St Mirren,29.0,0.011834057
Nicolas-Gerrit Kühn,Celtic,24.0,0.011458113
Martin Boyle,Hibernian,31.0,0.010936316
Hamza Igamane,Rangers,21.0,0.010648532
Simon Murray,Dundee,32.0,0.009988423
Sam Dalby,Dundee United,24.0,0.009805467
Toyosi Olusanya,St Mirren,26.0,0.009713536
Glenn Middleton,Dundee United,24.0,0.009038571
Noah Chilvers,Ross County,23.0,0.008913533
Makenzie Kirk,St Johnstone,20.0,0.008371223
Benjamin Mbunga-Kimpioka,St Johnstone,24.0,0.008164284
Marley Watkins,Kilmarnock,33.0,0.007476876
Sebastian Houlden,Dundee,20.0,0.0072856233
Fraser Murray,Kilmarnock,25.0,0.005855452
Daizen Maeda,Celtic,26.0,0.0045473776
Adam Idah,Celtic,23.0,0.0042644204
Scott Tiffoney,Dundee,25.0,0.0038533327
Luca Stephenson,Dundee United,20.0,0.003816304
Tom Sparrow,Motherwell,21.0,0.00031855324
Cyriel Dessers,Rangers,29.0,0.0
