Player,Team,Age,KMeansScore
Ezequiel Bullaude,Fortuna Sittard,23.0,0.26845712965463453
Andrea Pinamonti,Genoa,25.0,0.2661773645812828
Dylan Vente,Zwolle,25.0,0.26444672006725534
Morten Thorsby,Genoa,28.0,0.2619338090923089
Lorenzo Lucca,Udinese,23.0,0.2617813905135423
Roberto Piccoli,Cagliari,23.0,0.25882184900367705
Thomas Robinet,Almere City,27.0,0.25749271564542464
Kikas,Estrela,25.0,0.25290668821363993
Hugo Duro,Valencia,24.0,0.249270184415608
Rasmus Højlund,Manchester Utd,21.0,0.23981627284274962
Nicolás Domínguez,Nott'ham Forest,26.0,0.23566895651423148
Róbert Boženík,Boavista,24.0,0.2345013813592703
Kyan Vaesen,Willem II,23.0,0.21739346197579135
Jochem van de Kamp,Almere City,20.0,0.21602320081215445
Nicolas-Gerrit Kühn,Celtic,24.0,0.054529039577323496
Kevin Nisbet,Aberdeen,27.0,0.048917100808538075
Daizen Maeda,Celtic,26.0,0.04698849101177506
Lawrence Shankland,Hearts,28.0,0.045832542744050166
Václav Černý,Rangers,26.0,0.04388945674440479
Hamza Igamane,Rangers,21.0,0.0343120676097898
Sam Dalby,Dundee United,24.0,0.0330185979219075
Cyriel Dessers,Rangers,29.0,0.03203551391182327
Toyosi Olusanya,St Mirren,26.0,0.029472315928072767
Makenzie Kirk,St Johnstone,20.0,0.027650923501226377
Noah Chilvers,Ross County,23.0,0.025216402374782093
Ronan Hale,Ross County,25.0,0.02503804005986539
Scott Tiffoney,Dundee,25.0,0.012928466197487033
Fraser Murray,Kilmarnock,25.0,0.01267628000183623
Glenn Middleton,Dundee United,24.0,0.011902396857924068
Adama Sidibeh,St Johnstone,26.0,0.010638996633407628
Tom Sparrow,Motherwell,21.0,0.007906722543816221
Luca Stephenson,Dundee United,20.0,0.0
