Player,Team,Age,ManhattanSimilarity
Valentín Castellanos,Lazio,25.0,0.4315163168062351
Ollie Watkins,Aston Villa,28.0,0.43055868261212127
Benedict Hollerbach,Union Berlin,23.0,0.4301098772163087
Josué Casimir,Le Havre,22.0,0.4273130743367268
Dani Rodríguez,Mallorca,36.0,0.4271521659231422
Breel Embolo,Monaco,27.0,0.4265833590912038
Raúl Jiménez,Fulham,33.0,0.4259927547903513
Romelu Lukaku,Napoli,31.0,0.42524683026688864
Boulaye Dia,Lazio,27.0,0.4250929298999565
Borja Iglesias,Celta Vigo,31.0,0.4250602501644081
Dušan Vlahović,Juventus,24.0,0.4250378815914008
Loïs Openda,RB Leipzig,24.0,0.4248750830011202
Adam Hložek,Hoffenheim,22.0,0.42458377133350444
Lucas Stassin,Saint-Étienne,19.0,0.42403114397274655
Félix Lemaréchal,Strasbourg,20.0,0.4216330963293064
Mahdi Camara,Brest,26.0,0.4193477903646689
Yassine Kechta,Le Havre,22.0,0.4184006619827611
Yoane Wissa,Brentford,27.0,0.41830469640435763
Suf Podgoreanu,Heracles Almelo,22.0,0.4174015173478236
Lucas Piazon,AVS Futebol,30.0,0.41721124087784717
Arnaud Kalimuendo,Rennes,22.0,0.4167198568558879
Alfonso Trezza,Arouca,25.0,0.4165653675996141
Jorge de Frutos,Rayo Vallecano,27.0,0.4162727511864012
Miguel Reisinho,Boavista,25.0,0.4161030723397727
Juan Cruz,Leganés,24.0,0.415476676790601
Giuseppe Pezzella,Empoli,26.0,0.4145996707858269
Jens Odgaard,Bologna,25.0,0.41396008426360936
Sebastiano Esposito,Empoli,22.0,0.4138607223614404
Ermedin Demirović,Stuttgart,26.0,0.4138351475033424
Tiago Tomás,Wolfsburg,22.0,0.4136991104424677
Samu Omorodion,Porto,20.0,0.41281971553298524
Lucas Beltrán,Fiorentina,23.0,0.4124092606498266
Gabriel Vieira,Santa Clara,22.0,0.41231920998400096
Jon Guridi,Alavés,29.0,0.41194414346387764
Fábio Silva,Las Palmas,22.0,0.41187171633261
Sandro Ramírez,Las Palmas,29.0,0.4118168564159468
Christantus Uche,Getafe,21.0,0.41079567025896185
Jim Allevinah,Angers,29.0,0.40911128272192604
Thierno Barry,Villarreal,21.0,0.40669616189856456
Dominic Solanke,Tottenham,26.0,0.4056686132335793
Denzel Dumfries,Inter,28.0,0.40469669452064944
Álvaro García,Rayo Vallecano,31.0,0.403094324974855
Dany Mota,Monza,26.0,0.40047394986736284
Jasper Dahlhaus,Fortuna Sittard,22.0,0.40008265891890293
Alexis Claude-Maurice,Augsburg,26.0,0.3997204087288577
Santiago Castro,Bologna,19.0,0.3995906138785382
Moise Kean,Fiorentina,24.0,0.39840817677725554
Jorg Schreuders,Groningen,19.0,0.398196432853533
Kornelius Hansen,Almere City,23.0,0.3981461905143708
Vito van Crooy,NEC Nijmegen,28.0,0.3972416528624594
Sami Ouaissa,NEC Nijmegen,19.0,0.3961045671569801
Marius Bülter,Hoffenheim,31.0,0.3945247965690332
Jérémy Livolant,Casa Pia,26.0,0.3940667066970894
Kiko Bondoso,Rio Ave,28.0,0.3936767565587583
Nicolás Domínguez,Nott'ham Forest,26.0,0.3912935595978805
Marvin Pieringer,Heidenheim,24.0,0.39043670782032663
Morgan Guilavogui,St. Pauli,26.0,0.38808811173119995
Shuto Machino,Holstein Kiel,24.0,0.3858550380774267
Benjamin Šeško,RB Leipzig,21.0,0.3833881957750628
Zakaria Aboukhlal,Toulouse,24.0,0.38260401979290015
Javi Puado,Espanyol,26.0,0.38181237960539455
Lucas Höler,Freiburg,30.0,0.3815317879963589
Erling Haaland,Manchester City,24.0,0.38146749069983
Danny Welbeck,Brighton,33.0,0.380688217847215
Nikola Krstović,Lecce,24.0,0.38044924404920727
Robert Lewandowski,Barcelona,35.0,0.3790790665226527
Rúnar Þór Sigurgeirsson,Willem II,24.0,0.37895094916709837
Mario Engels,Heracles Almelo,30.0,0.376987114205352
Iliman Ndiaye,Everton,24.0,0.37679373882048917
Paxten Aaronson,Utrecht,20.0,0.37664898764652444
Jean-Philippe Mateta,Crystal Palace,27.0,0.37662596365417145
Liam Delap,Ipswich Town,21.0,0.37475350238313104
Vinícius,Santa Clara,25.0,0.3708973034691168
Johannes Eggestein,St. Pauli,26.0,0.3706001748724686
Emanuel Emegha,Strasbourg,21.0,0.36926687440012657
Cisse Sandra,Willem II,20.0,0.36721815769276156
Patrick Cutrone,Como,26.0,0.3669002858972121
Ange-Yoan Bonny,Parma,20.0,0.3652928297703244
Morten Thorsby,Genoa,28.0,0.3638557085681238
Clayton,Rio Ave,25.0,0.36292717433424737
Lorenzo Colombo,Empoli,22.0,0.3608941027172144
Santiago Pierotti,Lecce,23.0,0.3598973943319756
Matthis Abline,Nantes,21.0,0.35500136307462526
Artem Dovbyk,Roma,27.0,0.3516503301034355
Oskar Zawada,RKC Waalwijk,28.0,0.3505284497974207
Philipp Hofmann,Bochum,31.0,0.3486741874466656
Nélson Oliveira,Vitória,32.0,0.34767064228013106
Vedat Muriqi,Mallorca,30.0,0.346614657637522
Thom van Bergen,Groningen,20.0,0.34470195888835714
Che Adams,Torino,28.0,0.34467032485955384
Amin Sarr,Hellas Verona,23.0,0.3422926544999933
Jochem van de Kamp,Almere City,20.0,0.3393898582083572
Oliver McBurnie,Las Palmas,28.0,0.3329919107946736
Ludovic Ajorque,Brest,30.0,0.33237114304158993
Mikel Oyarzabal,Real Sociedad,27.0,0.32759369394106114
Cyle Larin,Mallorca,29.0,0.32672982226002245
Thomas Robinet,Almere City,27.0,0.32442595738849417
Evanilson,Bournemouth,24.0,0.323477466129575
Isaac Romero,Sevilla,24.0,0.3226772313853725
Ante Budimir,Osasuna,33.0,0.3198140955393516
Roberto Piccoli,Cagliari,23.0,0.3174725265995519
Rasmus Højlund,Manchester Utd,21.0,0.3155195077037924
Tobias Lauritsen,Sparta R'dam,26.0,0.315167163320831
Kyan Vaesen,Willem II,23.0,0.3149750218699274
Róbert Boženík,Boavista,24.0,0.3145533718315019
Kiké,Alavés,34.0,0.30905067915804163
Anuar,Valladolid,29.0,0.3044615249543769
Ezequiel Bullaude,Fortuna Sittard,23.0,0.3036320646004493
Elías Már Ómarsson,NAC Breda,29.0,0.3022475404713871
Kikas,Estrela,25.0,0.3010529868401544
Jamie Vardy,Leicester City,37.0,0.297168339432971
Andrea Pinamonti,Genoa,25.0,0.2943860966612187
Jørgen Strand Larsen,Wolves,24.0,0.2923749461864488
Dylan Vente,Zwolle,25.0,0.27929185384762506
Gorka Guruzeta,Athletic Club,27.0,0.2778013897445935
Hugo Duro,Valencia,24.0,0.27294464116100414
Chris Wood,Nott'ham Forest,32.0,0.2659144235493976
Emmanuel Gyasi,Empoli,30.0,0.25990842085673727
Cassiano,Casa Pia,35.0,0.2551685562680867
Lorenzo Lucca,Udinese,23.0,0.2530549293318299
Lawrence Shankland,Hearts,28.0,0.06004530996276142
Noah Chilvers,Ross County,23.0,0.055606066137252975
Glenn Middleton,Dundee United,24.0,0.048154665514674455
Oluwaseun Adewumi,Dundee,19.0,0.044002824719050405
Adama Sidibeh,St Johnstone,26.0,0.042295647691457605
Václav Černý,Rangers,26.0,0.03645138866035206
Fraser Murray,Kilmarnock,25.0,0.03298564412940169
Jordan White,Ross County,32.0,0.02874308143949634
Nicolas-Gerrit Kühn,Celtic,24.0,0.028438854881883413
Benjamin Mbunga-Kimpioka,St Johnstone,24.0,0.02804858856135545
Kevin Nisbet,Aberdeen,27.0,0.027941649155223156
Mikael Mandron,St Mirren,29.0,0.027721018535627938
Toyosi Olusanya,St Mirren,26.0,0.026894739600378872
Simon Murray,Dundee,32.0,0.02687611646897949
Marley Watkins,Kilmarnock,33.0,0.025200535264841173
Cyriel Dessers,Rangers,29.0,0.02355245268985552
Luca Stephenson,Dundee United,20.0,0.023280342338896125
Martin Boyle,Hibernian,31.0,0.023046197565233656
Sam Dalby,Dundee United,24.0,0.02284699355918416
Sebastian Houlden,Dundee,20.0,0.02091606031923704
Ronan Hale,Ross County,25.0,0.01841772627005845
Hamza Igamane,Rangers,21.0,0.018402210946169634
Makenzie Kirk,St Johnstone,20.0,0.018155010482625578
Scott Tiffoney,Dundee,25.0,0.014562261820939129
Daizen Maeda,Celtic,26.0,0.011026753993730286
Adam Idah,Celtic,23.0,0.008324454102873758
Tom Sparrow,Motherwell,21.0,0.0
